"time","power","units","fan 0","fan 1","fan 2","temp 0","temp 1","temp 2","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s",
"21/03/2022 08:20:00",301,3,60,50,47,51,52,64,21247414,28335447,27224920,
"21/03/2022 08:25:00",302,3,60,48,47,51,52,64,21225001,28324966,27206358,
"21/03/2022 08:30:00",304,3,60,50,47,51,52,64,21237655,28365307,27214417,
"21/03/2022 08:35:00",299,3,60,49,47,51,52,64,21252750,28360448,27224925,
"21/03/2022 08:40:00",301,3,60,50,47,51,52,64,21255207,28357220,27226540,
"21/03/2022 08:45:00",297,3,60,50,47,51,52,64,21236448,28364495,27222493,
"21/03/2022 08:50:00",302,3,60,50,47,51,52,64,21246165,28333005,27228157,
"21/03/2022 08:55:00",303,3,60,48,47,51,52,64,21242489,28375832,27229790,
"21/03/2022 09:00:00",303,3,60,50,47,51,52,64,21230393,28344310,27224923,
"21/03/2022 09:05:00",297,3,60,50,47,51,52,64,21262478,28369355,27227354,
"21/03/2022 09:10:00",283,3,60,50,47,51,52,64,21242473,28354000,27220900,
"21/03/2022 09:15:00",301,3,60,50,47,51,52,64,21255224,28325831,27227347,
"21/03/2022 09:20:00",300,3,60,50,47,51,52,64,21255825,28369360,27231397,
"21/03/2022 09:25:00",300,3,60,50,47,51,52,64,21246114,28335415,27214423,
"21/03/2022 09:30:00",300,3,60,50,47,51,52,64,21228598,28338703,27233828,
"21/03/2022 09:35:00",300,3,60,50,47,51,52,64,21267928,28353175,27227347,
"21/03/2022 09:40:00",300,3,60,50,47,51,51,63,21250354,28326560,27210365,
"21/03/2022 09:45:00",300,3,60,50,47,51,52,64,21232801,28350745,27216838,
"21/03/2022 09:50:00",299,3,60,50,47,51,52,64,21243724,28374211,27225728,
"21/03/2022 09:55:00",300,3,60,50,47,51,52,64,21253363,28362877,27228159,
"21/03/2022 10:00:00",300,3,60,49,47,51,52,64,21239461,28311224,27228159,
"21/03/2022 10:05:00",302,3,60,50,47,51,52,64,21249767,28344283,27237072,
"21/03/2022 10:10:00",300,3,60,50,47,51,52,64,21253366,28335402,27229778,
"21/03/2022 10:15:00",297,3,60,49,47,51,52,64,21239452,28341884,27224114,
"21/03/2022 10:20:00",300,3,60,50,47,51,52,64,21236421,28370159,27224106,
"21/03/2022 10:25:00",301,3,60,50,47,51,52,64,21246196,28312034,27216820,
"21/03/2022 10:30:00",301,3,60,50,47,52,52,64,21223720,28321737,27224110,
"21/03/2022 10:35:00",299,3,60,50,47,51,52,64,21242461,28375026,27235449,
"21/03/2022 10:40:00",296,3,60,50,47,51,52,63,21257611,28303151,27213603,
"21/03/2022 10:45:00",301,3,60,50,47,51,52,64,21262515,28331444,27216014,
"21/03/2022 10:50:00",301,3,60,50,47,51,52,64,21247916,28371790,27221684,
"21/03/2022 10:55:00",299,3,60,50,47,51,52,64,21244284,28370169,27224921,
"21/03/2022 11:00:00",300,3,60,50,47,51,52,64,21252777,28339444,27228160,
"21/03/2022 11:05:00",300,3,60,50,47,51,52,64,21242517,28323480,27216018,
