"time","power","units","fan 0","fan 1","fan 2","fan 3","fan 4","temp 0","temp 1","temp 2","temp 3","temp 4","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s","Unit 4 ethash H/s","Unit 5 ethash H/s",
"19/03/2022 01:50:00",231,4,28,28,28,30,0,42,47,48,60,0,29243461,29243461,29242613,32928648,0,
"19/03/2022 01:55:00",230,4,28,28,28,30,0,42,48,48,60,0,29247705,29246855,29246007,32931528,0,
"19/03/2022 02:00:00",230,4,28,28,28,30,0,41,48,48,60,0,29251097,29251097,29249400,32933452,0,
"19/03/2022 02:05:00",231,4,28,28,28,30,0,41,48,48,60,0,29248551,29247704,29247703,32931529,0,
"19/03/2022 02:10:00",231,4,28,28,28,30,0,41,48,47,60,0,29251096,29249400,29251097,32932488,0,
"19/03/2022 02:15:00",231,4,28,28,28,30,0,41,47,47,60,0,29246854,29246855,29246854,32929608,0,
"19/03/2022 02:20:00",231,4,28,28,28,30,0,41,47,47,60,0,29246005,29245158,29246005,32930569,0,
"19/03/2022 02:25:00",230,4,28,28,28,30,0,41,47,48,60,0,29245157,29244310,29244309,32926729,0,
"19/03/2022 02:30:00",231,4,28,28,28,30,0,41,47,47,60,0,29242612,29241765,29241765,32926730,0,
"19/03/2022 02:35:00",231,4,28,28,28,30,0,41,47,47,60,0,29248553,29249402,29250251,32929608,0,
"19/03/2022 02:40:00",230,4,28,28,28,30,0,40,46,47,59,0,29251945,29251096,29249399,32931529,0,
"19/03/2022 02:45:00",230,4,28,28,28,30,0,40,47,47,60,0,29247703,29246005,29246854,32929609,0,
"19/03/2022 02:50:00",230,4,28,28,28,30,0,40,47,47,59,0,29246006,29245157,29245157,32932489,0,
"19/03/2022 02:55:00",229,4,28,28,28,30,0,40,47,47,59,0,29242612,29243461,29241764,32924809,0,
"19/03/2022 03:00:00",229,4,28,28,28,30,0,40,47,47,59,0,29246006,29245157,29244310,32924809,0,
"19/03/2022 03:05:00",229,4,28,28,28,30,0,40,46,46,59,0,29246006,29245157,29243461,32925769,0,
"19/03/2022 03:10:00",230,4,28,28,28,30,0,40,46,47,59,0,29247703,29247703,29246854,32928648,0,
"19/03/2022 03:15:00",229,4,28,28,28,30,0,40,46,47,59,0,29245158,29243461,29243461,32932488,0,
"19/03/2022 03:20:00",229,4,28,28,28,30,0,40,46,47,59,0,29247703,29248552,29250248,32930569,0,
"19/03/2022 03:25:00",229,4,28,28,28,30,0,40,46,47,59,0,29242613,29242613,29241765,32926729,0,
"19/03/2022 03:30:00",229,4,28,28,28,30,0,39,46,46,59,0,29245157,29243461,29243461,32924809,0,
"19/03/2022 03:35:00",229,4,28,28,28,30,0,40,46,47,59,0,29246007,29245157,29244310,32933450,0,
"19/03/2022 03:40:00",229,4,28,28,28,30,0,40,46,47,59,0,29240069,29239221,29239221,32927690,0,
"19/03/2022 03:45:00",230,4,28,28,28,30,0,39,46,47,58,0,29249400,29246854,29246854,32927689,0,
"19/03/2022 03:50:00",229,4,28,28,28,30,0,39,46,47,58,0,29246006,29246007,29245158,32930569,0,
"19/03/2022 03:55:00",230,4,28,28,28,30,0,39,46,47,58,0,29247703,29249399,29249399,32930569,0,
"19/03/2022 04:00:00",230,4,28,28,28,30,0,39,46,46,58,0,29246856,29248551,29245158,32936331,0,
"19/03/2022 04:05:00",230,4,28,28,28,30,0,39,46,47,58,0,29240069,29240069,29237525,32922890,0,
"19/03/2022 04:10:00",230,4,28,28,28,30,0,39,45,46,58,0,29245157,29247703,29246855,32925769,0,
"19/03/2022 04:15:00",229,4,28,28,28,30,0,39,45,46,58,0,29249399,29251096,29251945,32930569,0,
"19/03/2022 04:20:00",230,4,28,28,28,30,0,39,46,46,58,0,29241764,29245158,29245159,32934409,0,
"19/03/2022 04:25:00",229,4,28,28,28,30,0,39,45,46,58,0,29242613,29240069,29241765,32931529,0,
"19/03/2022 04:30:00",230,4,28,28,28,30,0,39,46,46,59,0,29247702,29247702,29248551,32929609,0,
"19/03/2022 04:35:00",229,4,28,28,28,30,0,39,46,46,58,0,29241764,29241764,29241764,32923851,0,
"19/03/2022 04:40:00",229,4,28,28,28,30,0,39,45,46,58,0,29245157,29246007,29246856,32935370,0,
"19/03/2022 04:45:00",228,4,28,28,28,30,0,39,46,46,58,0,29249400,29252795,29253643,32934409,0,
"19/03/2022 04:50:00",230,4,28,28,28,30,0,39,45,45,58,0,29243462,29243461,29241765,32924809,0,
"19/03/2022 04:55:00",230,4,28,28,28,30,0,39,45,46,58,0,29253642,29253642,29251946,32929608,0,
"19/03/2022 05:00:00",228,4,28,28,28,30,0,39,45,46,58,0,29251945,29252795,29253642,32933448,0,
"19/03/2022 05:05:00",227,4,28,28,28,30,0,39,45,46,58,0,29248551,29247703,29247703,32927688,0,
"19/03/2022 05:10:00",228,4,28,28,28,30,0,38,45,46,58,0,29249400,29248552,29248552,32933450,0,
"19/03/2022 05:15:00",229,4,28,28,28,30,0,39,45,46,58,0,29245157,29243461,29245158,32928648,0,
"19/03/2022 05:20:00",229,4,28,28,28,30,0,39,45,46,58,0,29249400,29249400,29248552,32931529,0,
"19/03/2022 05:25:00",228,4,28,28,28,30,0,39,45,46,58,0,29248551,29249400,29249400,32927688,0,
"19/03/2022 05:30:00",229,4,28,28,28,30,0,39,45,45,58,0,29251098,29251946,29252795,32930568,0,
"19/03/2022 05:35:00",228,4,28,28,28,30,0,38,45,46,57,0,29248552,29248551,29246007,32931528,0,
"19/03/2022 05:40:00",229,4,28,28,28,30,0,39,45,45,57,0,29247704,29248551,29248551,32928648,0,
"19/03/2022 05:45:00",228,4,28,28,28,30,0,38,45,46,58,0,29244309,29243461,29243461,32924809,0,
"19/03/2022 05:50:00",225,4,28,28,28,30,0,39,44,45,58,0,29249400,29249399,29247702,32927689,0,
"19/03/2022 05:55:00",228,4,28,28,28,30,0,38,44,45,58,0,29251945,29251097,29252794,32932488,0,
"19/03/2022 06:00:00",228,4,28,28,28,30,0,38,44,46,58,0,29244309,29244309,29244310,32931530,0,
"19/03/2022 06:05:00",228,4,28,28,28,30,0,38,44,46,58,0,29249400,29249399,29249399,32931528,0,
"19/03/2022 06:10:00",228,4,28,28,28,30,0,38,44,45,57,0,29243462,29244309,29244310,32927689,0,
"19/03/2022 06:15:00",229,4,28,28,28,30,0,38,44,45,57,0,29251098,29250248,29250248,32929609,0,
"19/03/2022 06:20:00",229,4,28,28,28,30,0,38,45,45,58,0,29240916,29242612,29243462,32926729,0,
"19/03/2022 06:25:00",228,4,28,28,28,30,0,38,44,46,57,0,29244309,29244309,29244309,32926729,0,
"19/03/2022 06:30:00",228,4,28,28,28,30,0,38,44,45,57,0,29245157,29246006,29246006,32926728,0,
"19/03/2022 06:35:00",228,4,28,28,28,30,0,38,44,45,57,0,29246006,29246006,29246854,32927689,0,
"19/03/2022 06:40:00",228,4,28,28,28,30,0,38,44,45,57,0,29248551,29247703,29249400,32929609,0,
"19/03/2022 06:45:00",228,4,28,28,28,30,0,38,44,45,57,0,29246854,29247703,29247702,32928648,0,
"19/03/2022 06:50:00",228,4,28,28,28,30,0,38,44,45,57,0,29241765,29242613,29241766,32933450,0,
"19/03/2022 06:55:00",228,4,28,28,28,30,0,38,44,45,57,0,29243462,29241765,29243461,32932489,0,
"19/03/2022 07:00:00",229,4,28,28,28,30,0,38,44,45,57,0,29252795,29252795,29250248,32934411,0,
"19/03/2022 07:05:00",228,4,28,28,28,30,0,38,44,45,57,0,29245158,29245157,29245157,32928650,0,
"19/03/2022 07:10:00",229,4,28,28,28,30,0,38,44,44,57,0,29251098,29249400,29251946,32932488,0,
"19/03/2022 07:15:00",228,4,28,28,28,30,0,38,44,44,57,0,29252794,29252794,29251945,32930569,0,
"19/03/2022 07:20:00",228,4,28,28,28,30,0,38,44,45,57,0,29251096,29251097,29251097,32929609,0,
"19/03/2022 07:25:00",229,4,28,28,28,30,0,38,44,45,57,0,29240069,29240916,29240069,32922890,0,
"19/03/2022 07:30:00",228,4,28,28,28,30,0,38,43,44,57,0,29247703,29246854,29247703,32926729,0,
"19/03/2022 07:35:00",228,4,28,28,28,30,0,37,44,45,57,0,29247702,29246854,29247703,32926729,0,
"19/03/2022 07:40:00",229,4,28,28,28,30,0,38,44,44,57,0,29242613,29242613,29242612,32932488,0,
"19/03/2022 07:45:00",228,4,28,28,28,30,0,38,44,44,57,0,29247703,29247703,29248550,32926729,0,
"19/03/2022 07:50:00",229,4,28,28,28,30,0,38,44,45,57,0,29241764,29242613,29241765,32923850,0,
"19/03/2022 07:55:00",228,4,28,28,28,30,0,37,43,45,57,0,29247702,29248551,29247702,32932490,0,
"19/03/2022 08:00:00",228,4,28,28,28,30,0,37,44,44,57,0,29246005,29246854,29246854,32925769,0,
"19/03/2022 08:05:00",228,4,28,28,28,30,0,38,44,45,57,0,29246006,29246007,29244310,32924809,0,
"19/03/2022 08:10:00",228,4,28,28,28,30,0,38,44,44,57,0,29245157,29246854,29246856,32932489,0,
"19/03/2022 08:15:00",229,4,28,28,28,30,0,38,44,45,57,0,29248551,29247702,29249400,32929609,0,
"19/03/2022 08:20:00",229,4,28,28,28,30,0,38,43,44,57,0,29240069,29240069,29241765,32928648,0,
"19/03/2022 08:25:00",228,4,28,28,28,30,0,38,44,44,57,0,29252794,29250248,29250248,32930568,0,
"19/03/2022 08:30:00",229,4,28,28,28,30,0,38,44,45,57,0,29248551,29248551,29247703,32929609,0,
"19/03/2022 08:35:00",229,4,28,28,28,30,0,37,43,44,57,0,29242614,29243461,29245157,32933449,0,
"19/03/2022 08:40:00",228,4,28,28,28,30,0,38,43,44,57,0,29245157,29246006,29243461,32934410,0,
"19/03/2022 08:45:00",229,4,28,28,28,30,0,37,43,44,56,0,29240917,29241764,29240916,32930570,0,
"19/03/2022 08:50:00",229,4,28,28,28,30,0,37,44,45,56,0,29251097,29250249,29251097,32931530,0,
"19/03/2022 08:55:00",228,4,28,28,28,30,0,38,44,45,56,0,29240917,29243461,29239221,32927689,0,
"19/03/2022 09:00:00",229,4,28,28,28,30,0,38,44,45,57,0,29243461,29243461,29243461,32925769,0,
"19/03/2022 09:05:00",229,4,28,28,28,30,0,38,44,44,57,0,29247703,29249400,29250248,32929609,0,
"19/03/2022 09:10:00",229,4,28,28,28,30,0,37,43,44,57,0,29243461,29243461,29244309,32924810,0,
"19/03/2022 09:15:00",229,4,28,28,28,30,0,37,44,44,57,0,29246854,29247703,29246854,32925769,0,
"19/03/2022 09:20:00",229,4,28,28,28,30,0,37,44,44,57,0,29242614,29240917,29240917,32926729,0,
"19/03/2022 09:25:00",228,4,28,28,28,30,0,37,43,45,57,0,29246855,29247704,29246855,32928649,0,
"19/03/2022 09:30:00",229,4,28,28,28,30,0,37,44,44,56,0,29244310,29244309,29245158,32927689,0,
